Absorbance,Reflectance,Fluoroscence
-0.26,0.71,1.32
-0.26,0.71,1.36
-0.25,0.75,1.31
-0.26,0.7,1.29
-0.26,0.71,1.37
-0.27,0.74,1.24
-0.26,0.71,1.36
-0.28,0.71,1.33
-0.26,0.67,1.21
-0.23,0.67,4.5
-0.28,0.79,1.44
-0.26,0.69,1.27
-0.25,0.72,1.24
-0.23,0.67,1.2
-0.23,0.65,1.19
-0.21,0.65,1.07
-0.19,0.6,1.14
-0.23,0.71,4.5
-0.32,2,1.59
-0.38,0.81,1.51
-0.28,0.76,1.35
-0.26,0.72,1.13
-0.22,0.69,1.27
-0.22,0.71,1.21
-0.24,0.69,1.26
-0.25,0.71,2.31
-0.38,2,1.32
-0.21,0.63,0.99
-0.19,0.64,1.19
-0.23,0.69,1.24
-0.25,0.68,1.14
-0.23,0.61,1.13
-0.2,0.64,1.07
-0.2,0.63,1.05
-0.21,0.64,1.15
-0.21,0.66,1.16
-0.21,0.64,1.13
-0.2,0.66,1.06
-0.21,0.65,1.11
-0.22,0.66,1.14
-0.21,0.67,1.25
-0.26,0.7,1.22
-0.22,0.69,1.16
-0.21,0.63,1.15
-0.22,0.67,1.19
-0.22,0.69,1.23
-0.25,0.71,1.26
-0.26,0.69,1.22
-0.23,0.69,1.18
-0.22,0.64,1.08
-0.19,0.63,1.06
-0.2,0.62,0.99
-0.16,0.63,1.18
-0.23,0.7,1.27
-0.24,0.68,1.18
-0.22,0.66,1.15
-0.22,0.67,1.16
-0.22,0.68,1.27
-0.23,0.66,1.25
-0.25,0.71,1.22
-0.24,0.67,1.24
-0.25,0.7,1.24
-0.25,0.69,1.08
-0.25,0.69,1.26
-0.23,0.72,1.35
-0.27,0.72,1.35
-0.27,0.73,1.33
-0.26,0.69,1.3
-0.25,0.7,1.34
-0.24,1.52,4.15
-0.45,1.12,2.21
-0.42,1.23,2.31
-0.42,2,2.03
-0.24,2,1.1
-0.22,2,4.5
-0.19,0.57,0.9
-0.16,0.64,1.09
-0.14,0.55,0.86
-0.13,0.55,0.9
-0.14,0.56,0.86
-0.13,0.57,0.86
-0.13,0.53,0.83
-0.13,0.54,0.86
-0.13,0.55,0.87
-0.13,0.55,0.84
-0.13,0.52,0.76
-0.08,0.52,0.88
-0.13,0.55,0.88
-0.16,0.58,1.04
-0.19,0.61,1.04
-0.19,0.58,1
-0.16,0.58,1.01
-0.18,0.61,1.03
-0.19,0.53,1.14
-0.28,0.75,1.01
-0.2,0.59,0.98
-0.19,0.64,1.1
-0.22,0.65,1.2
-0.22,0.64,1.13
-0.22,0.67,1.2
-0.22,0.66,1.13
-0.22,0.64,1.09
-0.19,0.61,1.15
-0.22,0.63,1.01
-0.16,0.58,1.02
-0.19,0.62,1.02
-0.18,0.61,1.05
-0.2,0.63,1.08
-0.21,0.66,1.18
-0.22,0.66,1.2
-0.24,0.69,1.2
-0.19,0.64,1.09
-0.21,0.66,1.2
-0.21,0.68,1.17
-0.22,0.66,1.13
-0.23,0.69,1.23
-0.24,0.73,1.34
-0.27,0.76,1.4
-0.29,0.77,1.51
-0.33,0.84,1.63
-0.33,0.86,1.71
-0.35,0.9,1.78
-0.36,0.9,1.74
-0.27,0.72,1.17
-0.22,0.66,1.13
-0.2,0.69,1.2
-0.24,0.69,1.21
-0.23,0.71,1.24
-0.23,0.68,1.24
-0.24,0.69,1.2
-0.22,0.68,1.23
-0.24,0.69,1.22
-0.24,0.69,1.23
-0.24,0.68,1.2
-0.24,0.7,1.24
-0.22,0.67,1.18
-0.23,0.68,1.19
-0.23,0.68,1.21
-0.23,0.67,1.18
-0.23,0.69,1.18
-0.22,0.67,1.14
-0.22,0.66,1.18
-0.23,0.69,1.25
-0.24,0.69,1.14
-0.2,0.64,1.09
-0.2,0.62,1.06
-0.2,0.63,1.04
-0.18,0.6,1.02
-0.18,1.99,0.97
-0.2,0.64,1.06
-0.2,0.62,4.5
-0.3,0.77,1.27
-0.25,0.72,1.41
-0.28,0.74,1.27
-0.23,0.69,1.13
,,
  ,,
